,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0, 100-Concert Band, Ann Richards School for Young Women Leaders, TEA:, Austin, Amanda Elizondo / Stephen Howard,CC,Varsity ,2015,98565,2,1,2,2,2,2,2,2, , Above and Beyond (Swearingen), Japanese Pictures  (Mixon/ ), Courtlandt County Festival  (Owens/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
1, 100-Concert Band, Bedichek Middle School, TEA:, Austin, Mary Manceaux,CCC,Varsity ,2015,98194,2,1,2,2,2,2,2,2, , Captain Dane March (William Owens), Japanese Pictures  (Mixon/ ), Black Forest Overture  (Sweeney/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
2, 100-Concert Band, Bedichek Middle School, TEA:, Austin, Sergio Valderrama,CCC,Non-Varsity ,2015,98187,2,2,2,2,2,2,2,2, , Crown Point March (Bruce Pearson), Corps of Discovery  (Owens/ ), Big Sky Round-Up  (Sheldon/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
3, 100-Concert Band, Bedichek Middle School, TEA:," Austin, TX", Lance Thomas,CCC,Sub Non-Varsity ,2015,98133,3,3,2,3,2,2,2,2, , Little Brazil Suite  (Balent/ ), Courtlandt County Festival  (Owens/ ), Union March (Mekel Rogers),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
4, 100-Concert Band, Burnet Middle School, TEA:, Austin," Alex Sabzkooh / Anne Leo, Spencer Garretson",CCC,Non-Varsity ,2015,98852,1,2,2,2,3,2,2,2, , Little Brazil Suite (Balent/ ), Fire Dance (Akey/ ), Nottingham March (Williams),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
5, 100-Concert Band, Burnet Middle School, TEA:, Austin, Spencer Garretson / Anne Leo/Alex Sabzkooh,CCC,Sub Non-Varsity ,2015,99313,3,3,3,3,3,4,3,3, , Nottingham March (Jerry Williams), Sakura (Story/ ), Theme and Variations  (Broege/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
6, 100-Concert Band, Burnet Middle School, TEA:," Austin, TX", Anne Leo / Alex Sabzkooh/Spencer Garretson,CCC,Varsity ,2015,98843,1,1,1,1,2,2,2,2,2, The Big Circus March (Robert E. Foster), Colliding Visions  (Balmages/ ), Japanese Pictures  (Mixon/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
7, 100-Concert Band, Cele Middle School, TEA:, Pflugerville, Brian Edwards / Cathy Humphrey,CC,Sub Non-Varsity ,2015,98759,2,1,2,2,2,2,3,2, , Manchester March (Edmondson), Sakura  (Story/ ), Odyssey  (Branchfield/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
8, 100-Concert Band, Cele Middle School, TEA:, Pflugerville, Brian Edwards / Cathy Humphrey,CC,Non-Varsity ,2015,98751,2,1,2,2,1,1,1,1,2, Manhattan Beach (Sousa/Story), Azure Hills  (Hodges/ ), Heroes Triumphant  (Owens/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
9, 100-Concert Band, Cele Middle School, TEA:, Pflugerville, Cathy Humphrey / Brian Edwards,CC,Varsity ,2015,98726,1,1,1,1,1,1,1,1,C, His Honor (Fillmore/Balent), Blue and Green Music  (Hazo/ ), Overture on a Minstrel Tune  (LaPlante/ ),DATE of EVENT 03/10/2015 ,Region: 18,1. Rey Meza,2. Betty Pierce,3. Ronnie Rios,1. Donnie Artley,2. Brian Beck,3. Stephen Hankins (Chrmn.)
